phase,rung,ordering,boundary,boson_encoding,method_id_requested,seed_requested,vqe_reps_used,vqe_maxiter_used,adapt_max_depth_used,adapt_maxiter_used,decision,run_id,status,error_message,started_utc,finished_utc,runtime_s,smoke_test,method_id,method_kind,sector,seed,attempt_idx,L,problem,t,U,dv,omega0,g_ep,n_ph_max,boson_encoding,ordering,boundary,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_depth_reached,adapt_stop_reason,wallclock_cap_s,E_exact_sector,E_best,E_last,delta_E_abs,N_up_target,N_dn_target,N_up_expect,N_dn_expect,N_up_abs_err,N_dn_abs_err,N_sector_abs_err_sum,sector_leak_flag,num_parameters,pool_size,nfev,nit
scout,scout_base,interleaved,periodic,binary,m1_hh_hva,101,2,3000,80,3000,,scout|m1_hh_hva|scout_base|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T02:02:32.385482+00:00,2026-03-02T02:07:07.414471+00:00,275.27452524984255,False,m1_hh_hva,conventional,"(2,1)",101,1,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,,,900,-0.6988083850995359,-0.33484455538567554,0.8554848488012377,0.3639638297138604,2,1,2.0,1.0,0.0,0.0,0.0,False,8,,5409,0
scout,scout_base,interleaved,periodic,binary,m3_adapt_paop_std,101,2,3000,80,3000,,scout|m3_adapt_paop_std|scout_base|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T02:07:07.819287+00:00,2026-03-02T02:09:13.231914+00:00,125.81628991710022,False,m3_adapt_paop_std,adapt,"(2,1)",101,2,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,6,3153,28
scout,scout_base,interleaved,periodic,binary,m4_adapt_paop_lf_std,101,2,3000,80,3000,,scout|m4_adapt_paop_lf_std|scout_base|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T02:09:13.640308+00:00,2026-03-02T02:11:20.143615+00:00,126.91060450021178,False,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,9,3153,28
scout,scout_base,blocked,open,binary,m1_hh_hva,101,2,3000,80,3000,,scout|m1_hh_hva|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T02:11:20.556680+00:00,2026-03-02T02:12:36.402599+00:00,76.25763466581702,False,m1_hh_hva,conventional,"(2,1)",101,4,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,,,900,-0.5269377197656464,1.0135042990968044,1.0135042990968044,1.5404420188624508,2,1,2.0,1.0,0.0,0.0,0.0,False,8,,1780,0
scout,scout_base,blocked,open,binary,m3_adapt_paop_std,101,2,3000,80,3000,,scout|m3_adapt_paop_std|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T02:12:36.819223+00:00,2026-03-02T02:14:31.518778+00:00,115.11531991604716,False,m3_adapt_paop_std,adapt,"(2,1)",101,5,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.5269377197656464,2.2639320230777065,2.263932065879242,2.790869742843353,2,1,2.0,1.0,0.0,0.0,0.0,False,28,5,3153,28
scout,scout_base,blocked,open,binary,m4_adapt_paop_lf_std,101,2,3000,80,3000,,scout|m4_adapt_paop_lf_std|scout_base|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T02:14:31.927633+00:00,2026-03-02T02:16:27.581816+00:00,116.06175399990752,False,m4_adapt_paop_lf_std,adapt,"(2,1)",101,6,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,blocked,open,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.5269377197656464,2.2639320230777065,2.263932065879242,2.790869742843353,2,1,2.0,1.0,0.0,0.0,0.0,False,28,7,3153,28
ladder,hva_r2_mi3000,interleaved,periodic,binary,m1_hh_hva,101,2,3000,80,3000,,ladder|m1_hh_hva|hva_r2_mi3000|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T02:16:27.989921+00:00,2026-03-02T02:21:01.987175+00:00,274.40395833272487,False,m1_hh_hva,conventional,"(2,1)",101,7,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,,,900,-0.6988083850995359,-0.33484455538567554,0.8554848488012377,0.3639638297138604,2,1,2.0,1.0,0.0,0.0,0.0,False,8,,5409,0
ladder,hva_r2_mi3000,interleaved,periodic,binary,m1_hh_hva,102,2,3000,80,3000,,ladder|m1_hh_hva|hva_r2_mi3000|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T02:21:02.395043+00:00,2026-03-02T02:28:20.427440+00:00,438.4085377920419,False,m1_hh_hva,conventional,"(2,1)",102,8,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,,,900,-0.6988083850995359,-0.33484428436171904,1.4211057423962126,0.3639641007378169,2,1,2.0,1.0,0.0,0.0,0.0,False,8,,8465,0
ladder,hva_r3_mi4500,interleaved,periodic,binary,m1_hh_hva,101,3,4500,80,3000,,ladder|m1_hh_hva|hva_r3_mi4500|S2_1|interleaved_periodic|binary|seed101,timeout,wallclock cap exceeded (900s),2026-03-02T02:43:20.439413+00:00,2026-03-02T02:43:20.449697+00:00,900.0047129578888,False,m1_hh_hva,conventional,"(2,1)",101,9,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,3,5,4500,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,hva_r3_mi4500,interleaved,periodic,binary,m1_hh_hva,102,3,4500,80,3000,,ladder|m1_hh_hva|hva_r3_mi4500|S2_1|interleaved_periodic|binary|seed102,timeout,wallclock cap exceeded (900s),2026-03-02T02:58:20.471756+00:00,2026-03-02T02:58:20.478129+00:00,900.0063190418296,False,m1_hh_hva,conventional,"(2,1)",102,10,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,3,5,4500,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,hva_r4_mi6000,interleaved,periodic,binary,m1_hh_hva,101,4,6000,80,3000,,ladder|m1_hh_hva|hva_r4_mi6000|S2_1|interleaved_periodic|binary|seed101,timeout,wallclock cap exceeded (900s),2026-03-02T03:13:20.446751+00:00,2026-03-02T03:13:20.451804+00:00,900.0041598747484,False,m1_hh_hva,conventional,"(2,1)",101,11,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,4,5,6000,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,hva_r4_mi6000,interleaved,periodic,binary,m1_hh_hva,102,4,6000,80,3000,,ladder|m1_hh_hva|hva_r4_mi6000|S2_1|interleaved_periodic|binary|seed102,timeout,wallclock cap exceeded (900s),2026-03-02T03:44:46.360873+00:00,2026-03-02T03:44:46.366595+00:00,900.0026079160161,False,m1_hh_hva,conventional,"(2,1)",102,12,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,4,5,6000,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,hva_r5_mi6000,interleaved,periodic,binary,m1_hh_hva,101,5,6000,80,3000,,ladder|m1_hh_hva|hva_r5_mi6000|S2_1|interleaved_periodic|binary|seed101,timeout,wallclock cap exceeded (900s),2026-03-02T04:14:36.430759+00:00,2026-03-02T04:14:36.436879+00:00,900.0040356670506,False,m1_hh_hva,conventional,"(2,1)",101,13,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,5,5,6000,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,hva_r5_mi6000,interleaved,periodic,binary,m1_hh_hva,102,5,6000,80,3000,,ladder|m1_hh_hva|hva_r5_mi6000|S2_1|interleaved_periodic|binary|seed102,timeout,wallclock cap exceeded (900s),2026-03-02T04:29:36.436374+00:00,2026-03-02T04:29:36.442268+00:00,900.003770833835,False,m1_hh_hva,conventional,"(2,1)",102,14,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,,5,5,6000,COBYLA,80,1e-06,1e-08,3000,,,900,,,,,2,1,,,,,,,,,,
ladder,adapt_d80_mi3000,interleaved,periodic,binary,m3_adapt_paop_std,101,2,3000,80,3000,,ladder|m3_adapt_paop_std|adapt_d80_mi3000|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:29:36.853569+00:00,2026-03-02T04:31:42.791871+00:00,126.34783983323723,False,m3_adapt_paop_std,adapt,"(2,1)",101,15,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,6,3153,28
ladder,adapt_d80_mi3000,interleaved,periodic,binary,m3_adapt_paop_std,102,2,3000,80,3000,,ladder|m3_adapt_paop_std|adapt_d80_mi3000|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:31:43.215394+00:00,2026-03-02T04:33:49.758488+00:00,126.96530216699466,False,m3_adapt_paop_std,adapt,"(2,1)",102,16,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,6,3153,28
ladder,adapt_d120_mi3000,interleaved,periodic,binary,m3_adapt_paop_std,101,2,3000,120,3000,,ladder|m3_adapt_paop_std|adapt_d120_mi3000|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:33:50.144489+00:00,2026-03-02T04:35:56.469202+00:00,126.70959858316928,False,m3_adapt_paop_std,adapt,"(2,1)",101,17,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_std,2,5,3000,COBYLA,120,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,6,3153,28
ladder,adapt_d120_mi3000,interleaved,periodic,binary,m3_adapt_paop_std,102,2,3000,120,3000,,ladder|m3_adapt_paop_std|adapt_d120_mi3000|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:35:56.768279+00:00,2026-03-02T04:38:05.807237+00:00,129.33655120804906,False,m3_adapt_paop_std,adapt,"(2,1)",102,18,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_std,2,5,3000,COBYLA,120,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,6,3153,28
ladder,adapt_d80_mi3000,interleaved,periodic,binary,m4_adapt_paop_lf_std,101,2,3000,80,3000,,ladder|m4_adapt_paop_lf_std|adapt_d80_mi3000|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:38:06.212841+00:00,2026-03-02T04:40:14.625837+00:00,128.792520374991,False,m4_adapt_paop_lf_std,adapt,"(2,1)",101,19,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,9,3153,28
ladder,adapt_d80_mi3000,interleaved,periodic,binary,m4_adapt_paop_lf_std,102,2,3000,80,3000,,ladder|m4_adapt_paop_lf_std|adapt_d80_mi3000|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:40:14.963734+00:00,2026-03-02T04:42:23.402610+00:00,128.77244137506932,False,m4_adapt_paop_lf_std,adapt,"(2,1)",102,20,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,9,3153,28
ladder,adapt_d120_mi3000,interleaved,periodic,binary,m4_adapt_paop_lf_std,101,2,3000,120,3000,,ladder|m4_adapt_paop_lf_std|adapt_d120_mi3000|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:42:23.644294+00:00,2026-03-02T04:44:34.346634+00:00,130.94111850019544,False,m4_adapt_paop_lf_std,adapt,"(2,1)",101,21,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_lf_std,2,5,3000,COBYLA,120,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,9,3153,28
ladder,adapt_d120_mi3000,interleaved,periodic,binary,m4_adapt_paop_lf_std,102,2,3000,120,3000,,ladder|m4_adapt_paop_lf_std|adapt_d120_mi3000|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:44:34.694082+00:00,2026-03-02T04:46:43.836317+00:00,129.48725520912558,False,m4_adapt_paop_lf_std,adapt,"(2,1)",102,22,3,hh,1.0,2.0,0.0,1.0,1.0,1,binary,interleaved,periodic,,paop_lf_std,2,5,3000,COBYLA,120,1e-06,1e-08,3000,28,eps_energy,1200,-0.6988083850995359,2.2639320230777065,2.263932065879242,2.9627404081772424,2,1,2.0,1.0,0.0,0.0,0.0,False,28,9,3153,28
